Título,Tipo,Destino,Data,Valor
Pagamento 1,Despesa,Contas de serviços,2024-01-01,50.00
Pagamento 2,Despesa,Compras,2024-01-02,100.00
Pagamento 3,Despesa,Transporte,2024-01-03,30.00
Pagamento 4,Despesa,Alimentação fora de casa,2024-01-04,25.00
Pagamento 5,Despesa,Entretenimento,2024-01-05,20.00
Pagamento 6,Despesa,Roupas,2024-01-06,50.00
Pagamento 7,Despesa,Cuidados com a saúde,2024-01-07,80.00
Pagamento 8,Despesa,Educação,2024-01-08,150.00
Pagamento 9,Despesa,Manutenção da casa,2024-01-09,70.00
Pagamento 10,Despesa,Viagens,2024-01-10,200.00
Pagamento 11,Despesa,Serviços públicos,2024-01-11,60.00
Pagamento 12,Despesa,Seguros,2024-01-12,120.00
Pagamento 13,Despesa,Gastos com animais de estimação,2024-01-13,40.00
Pagamento 14,Despesa,Assinaturas,2024-01-14,15.00
Pagamento 15,Despesa,Outros,2024-01-15,45.00
Pagamento 16,Renda,Salário,2024-01-16,2000.00
Pagamento 17,Renda,Investimentos,2024-01-17,500.00
Pagamento 18,Renda,Freelancing,2024-01-18,300.00
Pagamento 19,Renda,Outros,2024-01-19,250.00
Pagamento 20,Despesa,Contas de serviços,2024-01-20,55.00
Pagamento 21,Despesa,Compras,2024-01-21,110.00
Pagamento 22,Despesa,Transporte,2024-01-22,35.00
Pagamento 23,Despesa,Alimentação fora de casa,2024-01-23,30.00
Pagamento 24,Despesa,Entretenimento,2024-01-24,25.00
Pagamento 25,Despesa,Roupas,2024-01-25,55.00
Pagamento 26,Despesa,Cuidados com a saúde,2024-01-26,85.00
Pagamento 27,Despesa,Educação,2024-01-27,160.00
Pagamento 28,Despesa,Manutenção da casa,2024-01-28,75.00
Pagamento 29,Despesa,Viagens,2024-01-29,220.00
Pagamento 30,Despesa,Serviços públicos,2024-01-30,65.00
Pagamento 31,Despesa,Seguros,2024-01-31,130.00
Pagamento 32,Despesa,Gastos com animais de estimação,2024-02-01,45.00
Pagamento 33,Despesa,Assinaturas,2024-02-02,20.00
Pagamento 34,Despesa,Outros,2024-02-03,50.00
Pagamento 35,Renda,Salário,2024-02-04,2100.00
Pagamento 36,Renda,Investimentos,2024-02-05,600.00
Pagamento 37,Renda,Freelancing,2024-02-06,350.00
Pagamento 38,Renda,Outros,2024-02-07,275.00
Pagamento 39,Despesa,Contas de serviços,2024-02-08,60.00
Pagamento 40,Despesa,Compras,2024-02-09,120.00
Pagamento 41,Despesa,Transporte,2024-02-10,40.00
Pagamento 42,Despesa,Alimentação fora de casa,2024-02-11,35.00
Pagamento 43,Despesa,Entretenimento,2024-02-12,30.00
Pagamento 44,Despesa,Roupas,2024-02-13,60.00
Pagamento 45,Despesa,Cuidados com a saúde,2024-02-14,90.00
Pagamento 46,Despesa,Educação,2024-02-15,170.00
Pagamento 47,Despesa,Manutenção da casa,2024-02-16,80.00
Pagamento 48,Despesa,Viagens,2024-02-17,240.00
Pagamento 49,Despesa,Serviços públicos,2024-02-18,70.00
Pagamento 50,Despesa,Seguros,2024-02-19,140.00
